,Country.of.Origin,Bag.Weight,Variety,Processing.Method,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Grade,altitude_mean_km
566,Brazil,60 kg,Catuai,Natural / Dry,0.12,2,0,Green,6,Specialty Grade,0.9
567,Colombia,24 kg,Other,Washed / Wet,0,0,0,,1,Specialty Grade,1.6
568,United States,60 kg,Other,Other,0,0,0,,9,Specialty Grade,1.2
569,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,0,Green,4,Specialty Grade,1.5
570,Colombia,1 kg,Typica,Natural / Dry,0,4,0,Green,4,Specialty Grade,1.8
571,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,3,Specialty Grade,1.8
572,"Tanzania, United Republic Of",2 kg,Arusha,Washed / Wet,0.11,0,0,Green,5,Specialty Grade,1.4
573,Mexico,1 kg,Caturra,Washed / Wet,0.12,2,0,Green,10,Specialty Grade,1.6
574,Mexico,1 kg,Bourbon,Washed / Wet,0.12,0,0,Blue-Green,7,Specialty Grade,1.2
575,Guatemala,1 kg,Bourbon,Washed / Wet,0.11,0,0,Green,10,Specialty Grade,0.4
576,Mexico,1 kg,Typica,Washed / Wet,0.11,0,0,,2,Specialty Grade,1.4
577,El Salvador,69 kg,,,0,1,0,,3,Specialty Grade,1.2
578,Guatemala,69 kg,Caturra,Washed / Wet,0.1,0,1,Green,3,Specialty Grade,1.1
579,Guatemala,69 kg,Caturra,Washed / Wet,0.11,0,0,Green,8,Specialty Grade,1.8
580,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,0,Green,4,Specialty Grade,1.7
581,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,0,Green,1,Specialty Grade,0.4
582,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,0,Green,1,Specialty Grade,0.4
583,Indonesia,1 kg,Sulawesi,Other,0.12,0,0,Blue-Green,15,Specialty Grade,1.5
584,Guatemala,69 kg,Bourbon,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,0
585,Taiwan,10 kg,Yellow Bourbon,Natural / Dry,0,0,0,Green,0,Specialty Grade,0.7
586,El Salvador,69 kg,Bourbon,Washed / Wet,0,0,0,,4,Specialty Grade,1.2
587,Costa Rica,69 kg,Caturra,Washed / Wet,0.09,0,0,Bluish-Green,1,Specialty Grade,1.9
588,Honduras,69 kg,Caturra,Natural / Dry,0.09,0,1,Green,6,Specialty Grade,1.4
589,Brazil,60 kg,Yellow Bourbon,Pulped natural / honey,0.11,0,2,Bluish-Green,1,Specialty Grade,0.9
590,China,60 kg,Catimor,Natural / Dry,0.1,0,0,Green,0,Specialty Grade,1.1
591,China,60 kg,Catimor,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,1.5
592,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,Blue-Green,2,Specialty Grade,1.8
593,Malawi,60 kg,Gesha,Washed / Wet,0.12,0,0,Bluish-Green,0,Specialty Grade,1.4
594,Guatemala,69 kg,Pacas,Washed / Wet,0.13,0,0,Green,2,Specialty Grade,0.5
595,Colombia,1 kg,Typica,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,0.2
596,United States (Hawaii),80 lbs,Hawaiian Kona,Natural / Dry,0.1,6,0,Blue-Green,0,Specialty Grade,0
597,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0.1,0,0,Green,0,Specialty Grade,0
598,Colombia,1 kg,Caturra,Washed / Wet,0.1,0,0,Green,2,Specialty Grade,1.3
599,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,Green,6,Specialty Grade,1.6
600,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,,0,Specialty Grade,1.2
601,Mexico,1 kg,Typica,Natural / Dry,0.12,1,0,,4,Specialty Grade,1.2
602,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,Blue-Green,0,Specialty Grade,1.6
603,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,3,Specialty Grade,1.8
604,United States (Hawaii),100 lbs,Hawaiian Kona,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,0
605,Panama,2 kg,Catuai,Washed / Wet,0,0,0,Green,4,Specialty Grade,1.1
606,United States (Hawaii),1,,,0,0,0,,2,Specialty Grade,0
607,Brazil,60 kg,Bourbon,Natural / Dry,0,0,0,Green,4,Specialty Grade,0.9
608,Brazil,60 kg,Bourbon,Natural / Dry,0.11,0,2,Bluish-Green,3,Specialty Grade,0.9
609,Laos,50 kg,Catimor,Washed / Wet,0.13,0,0,Bluish-Green,0,Specialty Grade,1.3
610,El Salvador,69 kg,Pacas,Washed / Wet,0,0,0,Green,7,Specialty Grade,1.2
611,Mexico,8 kg,,,0.11,0,2,Green,3,Specialty Grade,1.3
612,Colombia,2 kg,,Washed / Wet,0,1,0,Green,9,Specialty Grade,0
613,Brazil,2 kg,Yellow Bourbon,Natural / Dry,0,0,0,Green,0,Specialty Grade,0
614,Brazil,60 kg,Catuai,Natural / Dry,0.12,0,0,,9,Specialty Grade,0
615,"Tanzania, United Republic Of",60 kg,Other,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,1.7
616,"Tanzania, United Republic Of",60 kg,Bourbon,Washed / Wet,0.12,0,0,Green,4,Specialty Grade,1.6
617,Taiwan,60 kg,Typica,Washed / Wet,0.08,0,0,Green,0,Specialty Grade,1.2
618,Mexico,1 kg,Typica,Natural / Dry,0.11,0,0,Green,0,Specialty Grade,1.3
619,Uganda,60 kg,SL14,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,1.7
620,Taiwan,30 kg,Typica,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,1.2
621,Thailand,60 kg,Caturra,Washed / Wet,0.11,0,0,Bluish-Green,0,Specialty Grade,1.5
622,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Bluish-Green,3,Specialty Grade,1.8
623,El Salvador,1 kg,Other,Washed / Wet,0,0,0,None,17,Specialty Grade,0
624,Guatemala,69 kg,Caturra,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,1.5
625,Thailand,1 kg,Other,Washed / Wet,0.12,0,0,Bluish-Green,0,Specialty Grade,0
626,Mexico,1 kg,Other,Washed / Wet,0.11,0,0,,2,Specialty Grade,1.1
627,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,,0,Specialty Grade,1
628,Colombia,1 kg,,,0.11,0,0,Green,0,Specialty Grade,3.9
629,United States (Hawaii),100 lbs,,,0.03,2,0,,0,Specialty Grade,0
630,Mexico,1 kg,Blue Mountain,,0,0,0,,1,Specialty Grade,1.4
631,Colombia,70 kg,,,0.08,0,0,,3,Specialty Grade,1.8
632,Colombia,70 kg,,,0.21,0,0,,2,Specialty Grade,0
633,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,1,Green,2,Specialty Grade,0.4
634,Taiwan,5 kg,Typica,Pulped natural / honey,0.11,0,5,Green,0,Specialty Grade,1.1
635,Brazil,59 kg,,Pulped natural / honey,0.11,0,0,Green,7,Specialty Grade,0
636,Taiwan,10 kg,,,0.11,0,0,Blue-Green,0,Specialty Grade,0.2
637,Brazil,60 kg,,,0,1,9,Green,2,Specialty Grade,0
638,Indonesia,2 kg,Typica,Semi-washed / Semi-pulped,0.13,0,0,Blue-Green,6,Specialty Grade,1.2
639,Thailand,1 kg,,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,0.8
640,Thailand,20 kg,Caturra,Washed / Wet,0.12,0,0,Blue-Green,1,Specialty Grade,1.4
641,"Tanzania, United Republic Of",60 kg,Other,Washed / Wet,0.12,0,0,,1,Specialty Grade,1.3
642,Uganda,60 kg,SL14,Natural / Dry,0.12,0,0,Green,0,Specialty Grade,1.7
643,Costa Rica,1 kg,Catuai,Washed / Wet,0.11,0,0,Green,3,Specialty Grade,1.3
644,Mexico,5 lbs,,Washed / Wet,0,0,0,Green,11,Specialty Grade,0
645,Guatemala,2 kg,,Natural / Dry,0,0,0,Blue-Green,4,Specialty Grade,0
646,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Blue-Green,3,Specialty Grade,1.8
647,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,,3,Specialty Grade,1.8
648,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,1.8
649,Mexico,1 kg,Typica,Washed / Wet,0.1,0,0,Green,6,Specialty Grade,1.2
650,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,1.2
651,Colombia,70 kg,Caturra,Washed / Wet,0.11,2,0,Green,2,Specialty Grade,1.8
652,Brazil,60 kg,Mundo Novo,,0,0,0,,4,Specialty Grade,1
653,Brazil,60 kg,Bourbon,Natural / Dry,0.11,0,0,Green,4,Specialty Grade,0.9
654,Indonesia,1 kg,Other,Washed / Wet,0.11,0,0,Green,5,Specialty Grade,1.2
655,Honduras,69 kg,Caturra,Washed / Wet,0.1,0,0,Green,4,Specialty Grade,1.4
656,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,2,Green,2,Specialty Grade,0.4
657,Thailand,1 kg,,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,0.8
658,Thailand,20 kg,Caturra,Washed / Wet,0.11,0,0,,0,Specialty Grade,1.4
659,"Tanzania, United Republic Of",60 kg,Other,Washed / Wet,0.12,0,0,Green,1,Specialty Grade,1.6
660,"Tanzania, United Republic Of",60 kg,Other,Washed / Wet,0.12,0,0,Bluish-Green,3,Specialty Grade,0
661,Mexico,2 kg,Other,Washed / Wet,0,0,0,Green,1,Specialty Grade,1.6
662,Brazil,60 kg,Yellow Bourbon,Semi-washed / Semi-pulped,0.11,0,0,Bluish-Green,0,Specialty Grade,1.3
663,Guatemala,69 kg,Bourbon,Washed / Wet,0.12,0,0,Green,4,Specialty Grade,0.4
664,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,1,Specialty Grade,1.8
665,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,0.4
666,Mexico,1 kg,Typica,Washed / Wet,0.13,0,0,None,10,Specialty Grade,1.7
667,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,Green,5,Specialty Grade,1.1
668,Mexico,1 kg,Typica,Semi-washed / Semi-pulped,0.11,0,0,,2,Specialty Grade,1.7
669,Guatemala,1 kg,Caturra,Natural / Dry,0.11,0,0,Green,5,Specialty Grade,0
670,Brazil,60 kg,Bourbon,Semi-washed / Semi-pulped,0,0,0,Blue-Green,4,Specialty Grade,1.2
671,Colombia,70 kg,Caturra,Washed / Wet,0.11,1,0,Green,3,Specialty Grade,1.8
672,United States (Hawaii),100 lbs,Hawaiian Kona,Washed / Wet,0.12,2,0,Green,3,Specialty Grade,0
673,Guatemala,1,,,0.01,1,0,,14,Specialty Grade,1.6
674,Honduras,2 kg,Other,Washed / Wet,0.12,0,1,Green,6,Specialty Grade,1.5
675,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,1,Green,2,Specialty Grade,1.7
676,Guatemala,69 kg,Bourbon,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,1.7
677,Guatemala,69 kg,Bourbon,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,0
678,Guatemala,69 kg,Caturra,Washed / Wet,0.11,0,2,Green,3,Specialty Grade,0
679,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,1,Specialty Grade,1.6
680,China,60 kg,Catimor,Washed / Wet,0.1,0,0,Green,0,Specialty Grade,1.6
681,Brazil,60 kg,,,0.11,0,1,Green,0,Specialty Grade,0
682,"Tanzania, United Republic Of",60 kg,Ruiru 11,Washed / Wet,0.13,0,0,Green,7,Specialty Grade,2.3
683,Brazil,2 kg,Yellow Bourbon,Natural / Dry,0,0,0,Green,0,Specialty Grade,0
684,Guatemala,1 kg,Caturra,Washed / Wet,0.1,0,0,Green,0,Specialty Grade,1.4
685,Mexico,1 kg,Typica,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,1.3
686,Brazil,60 kg,Catuai,Semi-washed / Semi-pulped,0.12,0,0,Blue-Green,1,Specialty Grade,1
687,Peru,5 lbs,,Washed / Wet,0,0,0,Green,3,Specialty Grade,0
688,Brazil,60 kg,Yellow Bourbon,Natural / Dry,0,0,0,Green,0,Specialty Grade,1.3
689,Mexico,1 kg,Bourbon,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,1.2
690,Honduras,2 kg,,Washed / Wet,0.09,0,0,None,2,Specialty Grade,0
691,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,9,Specialty Grade,1.8
692,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,Green,5,Specialty Grade,1.6
693,Mexico,1 kg,Typica,Semi-washed / Semi-pulped,0.13,0,0,Green,2,Specialty Grade,1.4
694,Mexico,1 kg,Typica,Washed / Wet,0.14,0,0,Green,9,Specialty Grade,1.3
695,Mexico,1 kg,Caturra,Washed / Wet,0.13,0,0,Green,1,Specialty Grade,1.2
696,Mexico,1 kg,Typica,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,1.3
697,Mexico,1 kg,Pacamara,Washed / Wet,0.14,0,0,Green,6,Specialty Grade,1.4
698,Mexico,1 kg,Caturra,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,1.2
699,Mexico,1 kg,Bourbon,Washed / Wet,0.13,0,0,,4,Specialty Grade,1.2
700,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,Bluish-Green,0,Specialty Grade,1.4
701,Colombia,70 kg,Caturra,Natural / Dry,0,0,0,,2,Specialty Grade,0.4
702,Brazil,60 kg,Arusha,Natural / Dry,0.11,0,0,Blue-Green,2,Specialty Grade,0
703,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,Green,2,Specialty Grade,1.8
704,Colombia,70 kg,,,0.02,0,0,,1,Specialty Grade,1.8
705,Honduras,69 kg,Caturra,Washed / Wet,0.1,0,1,Green,8,Specialty Grade,1.4
706,Brazil,2 kg,Catuai,Natural / Dry,0.11,0,3,Green,11,Specialty Grade,1
707,Brazil,59 kg,,Natural / Dry,0.11,0,4,Green,14,Specialty Grade,0
708,Brazil,60 kg,Bourbon,Natural / Dry,0.11,0,2,Bluish-Green,3,Specialty Grade,0.9
709,Costa Rica,69 kg,Caturra,Washed / Wet,0.1,6,1,Bluish-Green,3,Specialty Grade,1.9
710,Costa Rica,69 kg,Catuai,Washed / Wet,0,0,2,Green,0,Specialty Grade,1.6
711,China,60 kg,Catimor,Pulped natural / honey,0.12,0,6,Green,2,Specialty Grade,1.6
712,Brazil,2 kg,Bourbon,Natural / Dry,0.07,0,0,Green,0,Specialty Grade,1.3
713,Brazil,60 kg,Mundo Novo,Natural / Dry,0.11,0,0,Green,10,Specialty Grade,0
714,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,0,Green,6,Specialty Grade,0.5
715,Malawi,60 kg,Gesha,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,1.4
716,Brazil,2 kg,Bourbon,Natural / Dry,0.11,0,0,Blue-Green,0,Specialty Grade,1.1
717,Guatemala,69 kg,Pacas,Washed / Wet,0.12,0,0,Green,3,Specialty Grade,0.5
718,Mexico,5 lbs,,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,0
719,Colombia,3 kg,Caturra,Washed / Wet,0.1,0,0,Green,2,Specialty Grade,1.3
720,Taiwan,20 kg,Typica,Semi-washed / Semi-pulped,0.11,0,0,Green,0,Specialty Grade,0.2
721,Taiwan,30 kg,Typica,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,0.6
722,Guatemala,69 kg,Bourbon,Washed / Wet,0.12,2,0,Green,1,Specialty Grade,0.4
723,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,Green,1,Specialty Grade,1.8
724,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,Green,3,Specialty Grade,1.3
725,Costa Rica,1 kg,,Washed / Wet,0,0,0,Green,14,Specialty Grade,0
726,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,0,Green,3,Specialty Grade,0.5
727,Mexico,1 kg,Typica,Natural / Dry,0.15,1,0,None,8,Specialty Grade,0.4
728,Mexico,1 kg,Bourbon,Washed / Wet,0.13,0,0,Green,9,Specialty Grade,1.2
729,Guatemala,1 kg,Bourbon,Washed / Wet,0.1,2,0,Green,5,Specialty Grade,0.4
730,Brazil,60 kg,Mundo Novo,Natural / Dry,0.12,0,0,Green,2,Specialty Grade,1.1
731,Mexico,1 kg,Typica,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,1.3
732,Brazil,60 kg,Mundo Novo,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,1
733,Colombia,70 kg,Caturra,Natural / Dry,0,0,0,Green,0,Specialty Grade,0.4
734,Brazil,5 kg,Catuai,Washed / Wet,0.09,2,6,Green,10,Specialty Grade,1.1
735,Taiwan,10 kg,,,0.1,0,0,Blue-Green,0,Specialty Grade,0
736,Guatemala,69 kg,Pacas,Washed / Wet,0.11,0,2,Green,2,Specialty Grade,1.4
737,Brazil,2 kg,Yellow Bourbon,Natural / Dry,0,0,0,Green,9,Specialty Grade,0
738,El Salvador,1 kg,Bourbon,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,1.5
739,Honduras,1 kg,Catuai,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,1.4
740,Malawi,60 kg,Gesha,Washed / Wet,0.13,0,0,Blue-Green,0,Specialty Grade,1.2
741,Brazil,2 kg,Bourbon,Natural / Dry,0.11,0,0,Green,0,Specialty Grade,1.1
742,Taiwan,60 kg,Typica,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,0.7
743,Mexico,1 kg,Mundo Novo,Washed / Wet,0.12,0,0,Blue-Green,4,Specialty Grade,1.3
744,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0,0,0,Bluish-Green,1,Specialty Grade,0
745,Mexico,1 kg,Bourbon,Washed / Wet,0.16,3,0,None,8,Specialty Grade,0.5
746,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,0.4
747,Mexico,1 kg,Bourbon,Washed / Wet,0.13,0,0,Green,3,Specialty Grade,1.2
748,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,Green,13,Specialty Grade,1.2
749,El Salvador,1 kg,Other,Washed / Wet,0,2,0,Green,5,Specialty Grade,0
750,Mexico,1 kg,Typica,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,1.1
751,Mexico,1 kg,Typica,Washed / Wet,0.1,0,0,Green,3,Specialty Grade,0.9
752,Colombia,70 kg,Caturra,Washed / Wet,0.12,0,0,Green,1,Specialty Grade,1.8
753,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,1.8
754,Brazil,60 kg,Arusha,Natural / Dry,0.12,0,0,Green,1,Specialty Grade,0
755,Colombia,70 kg,,,0.22,0,0,,2,Specialty Grade,0
756,Brazil,60 kg,Bourbon,Natural / Dry,0.11,0,1,Green,5,Specialty Grade,0.9
757,Honduras,69 kg,Caturra,Washed / Wet,0.11,0,1,Bluish-Green,2,Specialty Grade,1.5
758,Nicaragua,69 kg,,,0.1,0,0,Green,1,Specialty Grade,1
759,"Tanzania, United Republic Of",80 kg,Bourbon,Washed / Wet,0.13,1,0,Green,6,Specialty Grade,1.7
760,"Tanzania, United Republic Of",60 kg,Other,Washed / Wet,0.12,0,0,Green,1,Specialty Grade,1.6
761,Brazil,2 kg,Yellow Bourbon,Natural / Dry,0,0,0,Green,1,Specialty Grade,0
762,Thailand,1 kg,,Washed / Wet,0.12,0,0,Bluish-Green,0,Specialty Grade,0.8
763,Honduras,1 kg,Catuai,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,1.4
764,Guatemala,69 kg,Bourbon,Washed / Wet,0.09,0,0,Blue-Green,4,Specialty Grade,1.5
765,Brazil,60 kg,Mundo Novo,Natural / Dry,0.12,0,0,Green,1,Specialty Grade,0
766,"Tanzania, United Republic Of",60 kg,Other,Washed / Wet,0.12,0,0,Green,1,Specialty Grade,1.7
767,Mexico,1 kg,Other,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,1.1
768,Mexico,2 kg,Other,Washed / Wet,0.1,1,0,None,1,Specialty Grade,1.4
769,Taiwan,60 kg,Typica,Other,0.11,0,0,Green,0,Specialty Grade,1.2
770,Taiwan,10 kg,Typica,Washed / Wet,0,0,0,Green,0,Specialty Grade,0.8
771,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,Bluish-Green,1,Specialty Grade,1.8
772,Mexico,1 kg,Typica,Washed / Wet,0.15,1,0,None,9,Specialty Grade,1.1
773,Guatemala,1 kg,Caturra,Washed / Wet,0.12,0,0,None,2,Specialty Grade,1.4
774,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,Green,4,Specialty Grade,1
775,Mexico,1 kg,Typica,Washed / Wet,0.1,0,0,Green,1,Specialty Grade,1.2
776,Colombia,70 kg,,,0.08,0,0,,0,Specialty Grade,1.8
777,Indonesia,1 kg,Bourbon,Washed / Wet,0.15,0,0,,3,Specialty Grade,1.3
778,Colombia,70 kg,Caturra,Washed / Wet,0,0,7,Green,6,Specialty Grade,0
779,Brazil,60 kg,Bourbon,Natural / Dry,0.11,0,1,Green,3,Specialty Grade,0.9
780,Brazil,2 kg,Yellow Bourbon,Natural / Dry,0,0,0,Green,1,Specialty Grade,0
781,Costa Rica,350 kg,Caturra,Washed / Wet,0,0,0,Blue-Green,0,Specialty Grade,1.3
782,"Tanzania, United Republic Of",2 kg,Bourbon,Washed / Wet,0.12,0,0,Green,5,Specialty Grade,1.5
783,"Tanzania, United Republic Of",60 kg,Other,Washed / Wet,0.12,0,0,Green,3,Specialty Grade,1.6
784,Colombia,5 lbs,,Washed / Wet,0.11,1,0,Green,0,Specialty Grade,0
785,Costa Rica,69 kg,Caturra,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,0
786,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0.11,0,0,Bluish-Green,0,Specialty Grade,0
787,Mexico,1 kg,Typica,Washed / Wet,0.13,0,0,Green,7,Specialty Grade,1.3
788,Mexico,1 kg,Typica,Washed / Wet,0.13,3,0,Green,13,Specialty Grade,1.8
789,Mexico,1 kg,Typica,Washed / Wet,0.11,0,0,Green,11,Specialty Grade,1.2
790,Vietnam,2 kg,Other,Natural / Dry,0.12,0,0,Green,2,Specialty Grade,1
791,Mexico,1 kg,Typica,Washed / Wet,0.11,0,0,Green,1,Specialty Grade,1.2
792,United States (Hawaii),100 lbs,Hawaiian Kona,Washed / Wet,0.1,0,0,Green,2,Specialty Grade,0
793,Colombia,70 kg,,,0.08,1,0,,5,Specialty Grade,1.6
794,Honduras,69 kg,Caturra,Washed / Wet,0.12,0,0,Green,1,Specialty Grade,1.6
795,Honduras,69 kg,Caturra,Natural / Dry,0.1,0,1,Green,7,Specialty Grade,1.6
796,Brazil,60 kg,Bourbon,Natural / Dry,0.11,0,2,Green,3,Specialty Grade,0.9
797,"Tanzania, United Republic Of",80 kg,Other,Washed / Wet,0.13,0,0,Green,20,Specialty Grade,1.7
798,Laos,2 kg,Other,Washed / Wet,0.12,0,0,Blue-Green,0,Specialty Grade,1.2
799,"Tanzania, United Republic Of",60 kg,Other,Washed / Wet,0.12,0,0,Green,3,Specialty Grade,1.4
800,Malawi,60 kg,Gesha,Washed / Wet,0.13,0,0,Bluish-Green,1,Specialty Grade,2.5
801,Taiwan,20 kg,Typica,Washed / Wet,0.09,0,0,Green,0,Specialty Grade,0.6
802,Thailand,1 kg,,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,0.8
803,Costa Rica,1 kg,Catuai,Washed / Wet,0.1,0,0,Green,4,Specialty Grade,1.3
804,Honduras,69 kg,Caturra,Washed / Wet,0.11,0,0,Green,5,Specialty Grade,1.4
805,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,1,Specialty Grade,1.9
806,Taiwan,10 kg,Typica,Washed / Wet,0.12,0,0,Bluish-Green,0,Specialty Grade,0.7
807,Brazil,2 kg,Mundo Novo,Natural / Dry,0.11,0,0,Blue-Green,0,Specialty Grade,1
808,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,Green,1,Specialty Grade,0.9
809,Brazil,60 kg,Mundo Novo,Natural / Dry,0.12,0,0,Green,1,Specialty Grade,1
810,Brazil,60 kg,Catuai,Semi-washed / Semi-pulped,0.11,0,0,Blue-Green,1,Specialty Grade,1.1
811,Guatemala,1 kg,Bourbon,Natural / Dry,0.11,0,0,Green,3,Specialty Grade,0
812,Brazil,60 kg,Mundo Novo,Semi-washed / Semi-pulped,0.12,0,0,Green,2,Specialty Grade,1
813,Guatemala,2 kg,Bourbon,Washed / Wet,0,0,0,Green,10,Specialty Grade,0.4
814,Colombia,70 kg,Caturra,,0.07,0,0,,2,Specialty Grade,1.8
815,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,0,Green,1,Specialty Grade,1.9
816,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,2,Green,0,Specialty Grade,0.4
817,Honduras,67 kg,Caturra,Washed / Wet,0.12,0,0,Green,1,Specialty Grade,1.4
818,Brazil,59 kg,Catuai,Natural / Dry,0.11,0,0,Green,4,Specialty Grade,1
819,El Salvador,69 kg,Bourbon,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,1.2
820,Guatemala,69 kg,Catuai,Washed / Wet,0.11,0,0,Green,7,Specialty Grade,1.6
821,"Tanzania, United Republic Of",60 kg,Other,Washed / Wet,0.12,0,0,Green,4,Specialty Grade,1.9
822,Nicaragua,5 lbs,,Washed / Wet,0.12,3,0,Green,4,Specialty Grade,0
823,Zambia,2 kg,SL28,Washed / Wet,0,1,0,,3,Specialty Grade,1.2
824,Honduras,2 kg,,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,0
825,Taiwan,30 kg,Typica,Other,0.11,0,0,Green,0,Specialty Grade,1
826,Mexico,1 kg,Bourbon,Washed / Wet,0.12,0,0,Green,6,Specialty Grade,1.3
827,Mexico,1 kg,Typica,Semi-washed / Semi-pulped,0.13,2,0,None,7,Specialty Grade,1
828,Mexico,1 kg,Mundo Novo,Washed / Wet,0.14,2,0,None,8,Specialty Grade,0.7
829,Mexico,1 kg,Other,Washed / Wet,0.12,0,0,Green,4,Specialty Grade,1.7
830,Mexico,1 kg,Bourbon,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,1
831,Brazil,60 kg,Mundo Novo,Natural / Dry,0.12,0,0,Green,3,Specialty Grade,1.1
832,Colombia,70 kg,,,0.09,0,0,,1,Specialty Grade,1.6
833,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,1,0,Green,1,Specialty Grade,0
834,Costa Rica,46 kg,Catuai,Pulped natural / honey,0,1,0,Green,4,Specialty Grade,1.9
835,Brazil,59 kg,Mundo Novo,Natural / Dry,0.11,0,1,Green,3,Specialty Grade,1
836,Indonesia,30 kg,Other,Other,0.11,0,1,Green,0,Specialty Grade,1.2
837,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,2,0,Green,6,Specialty Grade,3.3
838,Brazil,2 kg,Yellow Bourbon,Natural / Dry,0,0,0,Green,1,Specialty Grade,0
839,Brazil,2 kg,Yellow Bourbon,Natural / Dry,0,0,0,Green,0,Specialty Grade,0
840,Myanmar,2 kg,Catuai,Washed / Wet,0,0,0,Green,2,Specialty Grade,4
841,Mexico,2 kg,Catuai,Washed / Wet,0.11,0,0,Green,7,Specialty Grade,1.4
842,Honduras,1 kg,Catuai,Washed / Wet,0.12,0,0,Green,1,Specialty Grade,1.4
843,Costa Rica,18975 kg,Caturra,Washed / Wet,0.09,0,0,Green,0,Specialty Grade,1.3
